Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,2016   Inflation consumer prices (annual %),Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected schooling ,Mean schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
South Korea,57.0000,5.8350,5.7470,5.9230,0.9700,1.9151,0.9010,82.1000,16.6000,12.2000,34541.0000,12.0000,4.0000,13.7605,14.1655,29.5500,27.6010,-1.9490
Spain,37.0000,6.3610,6.2880,6.4340,-0.2027,1.1424,0.8840,82.8000,17.7000,9.8000,32779.0000,7.0000,3.0000,14.8589,13.1960,17.5550,24.5430,6.9880
Sri Lanka,117.0000,4.4150,4.3220,4.5080,3.9879,5.1967,0.7660,75.0000,14.0000,10.9000,10789.0000,21.0000,25.0000,28.1751,28.3585,3.0990,29.4130,26.3140
Sudan,133.0000,4.1390,3.9280,4.3500,17.7503,24.8971,0.4900,63.7000,7.2000,3.5000,3846.0000,-22.0000,101.0000,28.5720,29.0810,7.5580,31.5250,23.9670
Suriname,40.0000,6.2690,6.0730,6.4650,52.3356,13.4571,0.7250,71.3000,12.7000,8.3000,16018.0000,-27.0000,0.0000,26.9573,26.9610,1.0440,27.5110,26.4670
Sweden,10.0000,7.2910,7.2270,7.3550,0.9843,0.8173,0.9130,82.3000,16.1000,12.3000,46251.0000,2.0000,0.0000,4.1998,5.7840,23.0730,15.2620,-7.8110
Switzerland,2.0000,7.5090,7.4280,7.5900,-0.4346,-0.2245,0.9390,83.1000,16.0000,13.4000,56364.0000,7.0000,0.0000,8.1775,8.3850,21.4400,18.9050,-2.5350
Syria,156.0000,3.0690,2.9360,3.2020,15.2843,15.2843,0.5360,69.7000,9.0000,5.1000,2441.0000,13.0000,19.0000,20.0211,20.5535,22.0350,29.7770,7.7420
Tajikistan,100.0000,4.9960,4.9230,5.0690,6.0046,6.7879,0.6270,69.6000,11.3000,10.4000,2601.0000,30.0000,22.0000,6.5626,8.2600,27.2050,17.5560,-9.6490
Tanzania,149.0000,3.6660,3.5610,3.7710,5.1703,8.5218,0.5310,65.5000,8.9000,5.8000,2467.0000,10.0000,4.0000,22.7728,22.6990,3.2900,24.2900,21.0000
Thailand,33.0000,6.4740,6.3960,6.5520,0.1883,1.9209,0.7400,74.6000,13.6000,7.9000,14519.0000,-11.0000,1.0000,27.8649,27.9445,5.5120,29.8850,24.3730
Togo,155.0000,3.3030,3.1920,3.4140,0.8544,1.8050,0.4870,60.2000,12.0000,4.7000,1262.0000,18.0000,3.0000,27.7180,27.7640,5.1810,30.3120,25.1310
Tunisia,98.0000,5.0450,4.9650,5.1250,3.7110,4.6290,0.7250,75.0000,14.6000,7.1000,10249.0000,3.0000,1.0000,21.8871,22.3255,19.3390,31.1560,11.8170
Turkey,78.0000,5.3890,5.2950,5.4830,7.7751,7.9605,0.7670,75.5000,14.6000,7.9000,18705.0000,-7.0000,0.0000,14.0266,14.8120,21.7360,23.8390,2.1030
